sample;num_crispr_arrays;average_crispr_length;average_AT;percent_plus_orientation;percent_minus_orientation
GCF_001693515.2_ASM169351v2_genomic.fasta;1;86;37.49;0.0;0.0
GCF_004402215.1_ASM440221v1_genomic.fasta;2;114.5;31.72;100.0;0.0
GCF_008831075.1_ASM883107v1_genomic.fasta;7;136.86;31.53;0.0;100.0
GCA_900101115.1_IMG-taxon_2667527402_annotated_assembly_genomic.fasta;4;135.5;31.73;0.0;100.0
GCF_002563715.1_ASM256371v1_genomic.fasta;8;131.62;26.17;40.0;60.0
GCA_000612055.1_ASM61205v1_genomic.fasta;3;772;40.5;0.0;100.0
GCF_003330825.1_ASM333082v1_genomic.fasta;7;131.29;36.33;75.0;25.0
GCA_031356765.1_ASM3135676v1_genomic.fasta;4;97.25;36.82;66.67;33.33
GCF_030323865.1_ASM3032386v1_genomic.fasta;3;112;34.15;0.0;0.0
GCF_003696285.1_ASM369628v1_genomic.fasta;0;0.0;36.99;0.0;0.0
GCF_001530125.1_ASM153012v1_genomic.fasta;3;129;37.13;0.0;0.0
GCA_900097975.1_12075_1_89_genomic.fasta;3;87;66.62;0.0;100.0
GCA_017589465.1_ASM1758946v1_genomic.fasta;9;99.56;35.05;66.67;33.33
GCA_013426135.1_ASM1342613v1_genomic.fasta;0;0.0;40.61;0.0;0.0
GCA_000504585.2_ASM50458v2_genomic.fasta;0;0.0;35.11;0.0;0.0
GCA_014655335.1_ASM1465533v1_genomic.fasta;18;111.28;28.12;46.15;53.85
GCA_011611525.1_ASM1161152v1_genomic.fasta;2;93;36.9;100.0;0.0
GCF_002213425.1_ASM221342v1_genomic.fasta;0;0.0;37.27;0.0;0.0
GCA_902377425.1_MGYG-HGUT-01693_genomic.fasta;14;103.43;31.99;75.0;25.0
GCA_019343495.1_ASM1934349v1_genomic.fasta;0;0.0;57.4;0.0;0.0
GCF_003977665.1_ASM397766v1_genomic.fasta;5;145.8;38.3;33.33;66.67
GCF_006094375.1_ASM609437v1_genomic.fasta;1;88;67.78;0.0;0.0
GCF_002327085.1_ASM232708v1_genomic.fasta;3;887.33;50.78;66.67;33.33
GCF_002863305.2_ASM286330v2_genomic.fasta;6;1795.83;51.16;83.33;16.67
GCF_025311495.1_ASM2531149v1_genomic.fasta;0;0.0;50.31;0.0;0.0
GCA_014856545.2_ASM1485654v2_genomic.fasta;14;102.64;57.3;50.0;50.0
GCF_001457635.1_NCTC7465_genomic.fasta;4;90.25;60.27;50.0;50.0
GCF_037148075.1_ASM3714807v1_genomic.fasta;4;84.75;33.56;66.67;33.33
GCA_023656545.1_ASM2365654v1_genomic.fasta;11;530.64;27.93;42.86;57.14
GCF_003182135.1_ASM318213v1_genomic.fasta;8;993.25;30.33;60.0;40.0
GCF_024749185.1_ASM2474918v1_genomic.fasta;1;100;37.47;100.0;0.0
GCA_902813205.1_Bartonella_capreoli_DSM_21569_genomic.fasta;2;101.5;62.16;0.0;0.0
GCF_001544755.2_ASM154475v2_genomic.fasta;5;430;37.21;33.33;66.67
GCA_023699965.1_ASM2369996v1_genomic.fasta;31;177.32;35.79;53.33;46.67
GCF_002080435.1_ASM208043v1_genomic.fasta;0;0.0;37.54;0.0;0.0
GCA_900091595.1_IMG-taxon_2622736584_annotated_assembly_genomic.fasta;18;341.11;26.19;42.86;57.14
GCF_001274855.1_ASM127485v1_genomic.fasta;1;118;55.31;0.0;0.0
GCF_028994215.1_ASM2899421v1_genomic.fasta;1;102;61.85;0.0;0.0
GCA_014651075.1_ASM1465107v1_genomic.fasta;21;612.1;28.84;37.5;62.5
GCA_032054965.1_ASM3205496v1_genomic.fasta;8;130;33.18;42.86;57.14
GCF_001647695.1_ASM164769v1_genomic.fasta;1;154;62.08;0.0;100.0
GCA_010731855.1_ASM1073185v1_genomic.fasta;4;145.5;32.9;50.0;50.0
GCA_022968825.1_ASM2296882v1_genomic.fasta;3;793.67;55.32;100.0;0.0
GCF_002906655.1_ASM290665v1_genomic.fasta;3;126;55.0;0.0;100.0
GCA_021398215.1_ASM2139821v1_genomic.fasta;8;97.75;40.93;66.67;33.33
GCF_002180235.1_ASM218023v1_genomic.fasta;2;118.5;60.3;50.0;50.0
GCF_001704765.1_ASM170476v1_genomic.fasta;4;88.25;38.42;75.0;25.0
GCF_002158905.1_ASM215890v1_genomic.fasta;0;0.0;39.28;0.0;0.0
GCF_009914535.1_ASM991453v1_genomic.fasta;19;258.05;33.15;29.41;70.59
GCA_020544305.1_ASM2054430v1_genomic.fasta;7;109.43;66.9;50.0;50.0
GCA_016774515.1_ASM1677451v1_genomic.fasta;2;92.5;67.33;50.0;50.0
GCA_022870865.1_ASM2287086v1_genomic.fasta;7;1423.57;46.65;14.29;85.71
GCA_018555685.1_ASM1855568v1_genomic.fasta;2;247;37.42;0.0;100.0
GCF_003030905.1_ASM303090v1_genomic.fasta;4;116.5;40.42;50.0;50.0
GCA_019048845.1_ASM1904884v1_genomic.fasta;1;2367;53.65;0.0;100.0
GCA_023515905.1_ASM2351590v1_genomic.fasta;5;94;66.62;50.0;50.0
GCA_014646295.1_ASM1464629v1_genomic.fasta;17;449.29;31.58;8.33;91.67
GCA_022325225.1_ASM2232522v1_genomic.fasta;2;91.5;32.17;0.0;100.0
GCA_000953735.1_MVIS1_genomic.fasta;2;1481;60.57;100.0;0.0
GCF_001439635.1_ASM143963v1_genomic.fasta;3;190.33;63.05;0.0;100.0
GCA_032068925.1_ASM3206892v1_genomic.fasta;1;95;58.68;0.0;100.0
GCF_030566675.1_ASM3056667v1_genomic.fasta;14;344;34.71;60.0;40.0
GCA_013315795.1_ASM1331579v1_genomic.fasta;14;147.57;31.5;80.0;20.0
GCF_002982115.1_ASM298211v1_genomic.fasta;4;116.25;62.7;100.0;0.0
GCA_032164335.1_ASM3216433v1_genomic.fasta;1;155;47.78;0.0;0.0
GCF_001682515.1_ASM168251v1_genomic.fasta;0;0.0;58.97;0.0;0.0
GCF_028826155.1_ASM2882615v1_genomic.fasta;1;98;35.35;100.0;0.0
GCA_013154935.1_ASM1315493v1_genomic.fasta;1;80;54.9;0.0;0.0
GCF_007829925.1_ASM782992v1_genomic.fasta;11;186.09;27.02;0.0;100.0
GCA_023715385.1_ASM2371538v1_genomic.fasta;10;158.2;53.63;70.0;30.0
GCA_013393745.1_ASM1339374v1_genomic.fasta;0;0.0;71.81;0.0;0.0
GCA_019931735.1_ASM1993173v1_genomic.fasta;9;928.11;57.6;75.0;25.0
GCF_001688725.2_ASM168872v2_genomic.fasta;1;152;57.39;100.0;0.0
GCF_004340905.1_ASM434090v1_genomic.fasta;16;414.25;28.56;50.0;50.0
GCA_902459775.1_LMG_31118_genomic.fasta;0;0.0;36.7;0.0;0.0
GCA_019285655.1_ASM1928565v1_genomic.fasta;1;100;39.25;0.0;100.0
GCA_017163705.1_ASM1716370v1_genomic.fasta;2;357;31.2;0.0;100.0
GCA_900102045.1_IMG-taxon_2639762638_annotated_assembly_genomic.fasta;3;131;40.34;50.0;50.0
GCF_003667885.1_ASM366788v1_genomic.fasta;2;112.5;55.85;0.0;100.0
GCA_900100255.1_IMG-taxon_2596583650_annotated_assembly_genomic.fasta;3;100.67;40.19;0.0;100.0
GCF_002632615.1_ASM263261v1_genomic.fasta;4;789.5;56.3;50.0;50.0
GCF_002797575.1_ASM279757v1_genomic.fasta;1;105;54.44;100.0;0.0
GCA_010723225.1_ASM1072322v1_genomic.fasta;12;218.5;31.33;50.0;50.0
GCA_014725695.1_ASM1472569v1_genomic.fasta;2;112.5;28.98;100.0;0.0
GCA_900094625.1_IMG-taxon_2615840624_annotated_assembly_genomic.fasta;1;95;38.92;0.0;0.0
GCA_022870905.1_ASM2287090v1_genomic.fasta;5;501.6;53.58;20.0;80.0
GCF_003942025.1_ASM394202v1_genomic.fasta;1;175;61.18;100.0;0.0
GCF_003344965.1_ASM334496v1_genomic.fasta;16;287.5;28.81;33.33;66.67
GCA_900566065.1_LAUMK136_genomic.fasta;24;270.88;34.12;22.22;77.78
GCA_022012555.1_ASM2201255v1_genomic.fasta;1;133;37.09;0.0;0.0
GCF_003725575.1_ASM372557v1_genomic.fasta;5;938.8;45.48;50.0;50.0
GCF_001050015.1_Mycobacterium_malmesburii_WCM_7299_genomic.fasta;5;144.8;32.73;0.0;100.0
GCF_024582835.1_ASM2458283v1_genomic.fasta;1;1947;54.97;100.0;0.0
GCA_012647205.1_ASM1264720v1_genomic.fasta;10;105.3;40.4;57.14;42.86
GCA_016907845.1_ASM1690784v1_genomic.fasta;2;4063.5;48.0;50.0;50.0
GCA_900099905.1_IMG-taxon_2675903064_annotated_assembly_genomic.fasta;4;97.25;37.71;33.33;66.67
GCA_014873145.1_ASM1487314v1_genomic.fasta;39;284.08;29.11;42.86;57.14
GCA_012109195.1_ASM1210919v1_genomic.fasta;1;88;45.8;0.0;100.0
GCA_014648635.1_ASM1464863v1_genomic.fasta;24;127.79;27.51;77.78;22.22
GCF_004684875.1_ASM468487v1_genomic.fasta;2;95;66.69;50.0;50.0
GCA_031165565.1_ASM3116556v1_genomic.fasta;4;1059;34.89;66.67;33.33
GCF_040026365.1_ASM4002636v1_genomic.fasta;7;228.14;43.83;33.33;66.67
GCA_014042345.1_ASM1404234v1_genomic.fasta;5;156.4;34.42;0.0;0.0
GCA_020991025.1_ASM2099102v1_genomic.fasta;2;92;48.28;0.0;0.0
GCA_017309605.1_ASM1730960v1_genomic.fasta;0;0.0;40.26;0.0;0.0
GCF_001883705.2_ASM188370v2_genomic.fasta;8;129.12;33.51;83.33;16.67
GCA_900230245.1_IMG-taxon_2711768653_annotated_assembly_genomic.fasta;2;85.5;37.13;50.0;50.0
GCA_000769555.1_ASM76955v1_genomic.fasta;1;67;53.61;0.0;0.0
GCA_014268505.2_ASM1426850v2_genomic.fasta;4;122.75;40.29;66.67;33.33
GCA_900187015.1_50465_F01_genomic.fasta;0;0.0;39.94;0.0;0.0
GCA_900087655.1_PFRJS14_genomic.fasta;5;98;32.57;0.0;100.0
GCF_005549115.1_ASM554911v1_genomic.fasta;0;0.0;67.55;0.0;0.0
GCF_004367745.1_ASM436774v1_genomic.fasta;0;0.0;37.7;0.0;0.0
GCA_032595915.1_ASM3259591v1_genomic.fasta;0;0.0;71.41;0.0;0.0
GCA_022819085.1_ASM2281908v1_genomic.fasta;3;92;54.15;33.33;66.67
GCF_004028015.1_ASM402801v1_genomic.fasta;0;0.0;35.86;0.0;0.0
GCF_003606265.1_ASM360626v1_genomic.fasta;5;1819.8;72.15;0.0;100.0
GCF_025758125.1_ASM2575812v1_genomic.fasta;14;183.93;43.85;57.14;42.86
GCF_030388665.1_ASM3038866v1_genomic.fasta;26;144.35;28.05;60.0;40.0
GCF_005434945.1_ASM543494v1_genomic.fasta;6;534;30.87;60.0;40.0
GCA_022558585.1_ASM2255858v1_genomic.fasta;3;97.67;47.99;100.0;0.0
GCF_034424545.1_ASM3442454v1_genomic.fasta;2;1139;35.3;0.0;100.0
GCF_008704715.1_ASM870471v1_genomic.fasta;21;112.24;29.01;62.5;37.5
GCF_025147485.1_ASM2514748v1_genomic.fasta;1;94;53.45;100.0;0.0
GCA_905331265.2_AI2999v1_cpp_genomic.fasta;3;327.67;45.12;50.0;50.0
GCA_900475675.1_45473_D02_genomic.fasta;1;1813;62.29;0.0;100.0
GCA_019711435.1_ASM1971143v1_genomic.fasta;4;203.75;36.75;25.0;75.0
GCF_036700025.1_ASM3670002v1_genomic.fasta;4;335;48.42;75.0;25.0
GCF_008710165.1_ASM871016v1_genomic.fasta;1;893;36.65;100.0;0.0
GCF_030908325.1_ASM3090832v1_genomic.fasta;1;105;55.56;0.0;0.0
GCA_014647975.1_ASM1464797v1_genomic.fasta;25;341.76;28.99;33.33;66.67
GCA_018582665.1_ASM1858266v1_genomic.fasta;2;86.5;60.82;100.0;0.0
GCF_024453815.1_ASM2445381v1_genomic.fasta;7;312.71;39.34;50.0;50.0
GCA_014635305.1_ASM1463530v1_genomic.fasta;5;84.8;31.92;0.0;100.0
GCF_002995785.1_ASM299578v1_genomic.fasta;4;813;69.04;33.33;66.67
GCA_016201165.1_ASM1620116v1_genomic.fasta;0;0.0;32.74;0.0;0.0
GCA_013087625.1_ASM1308762v1_genomic.fasta;1;77;38.9;100.0;0.0
GCA_021729075.1_ASM2172907v1_genomic.fasta;3;125;39.78;50.0;50.0
GCF_009299385.1_ASM929938v1_genomic.fasta;19;120.53;27.11;66.67;33.33
GCA_016306625.1_ASM1630662v1_genomic.fasta;5;301.4;55.8;75.0;25.0
GCF_002811505.1_ASM281150v1_genomic.fasta;0;0.0;59.53;0.0;0.0
GCA_021236965.1_ASM2123696v1_genomic.fasta;6;461.83;61.44;20.0;80.0
GCF_001020205.1_ASM102020v1_genomic.fasta;3;156;72.02;100.0;0.0
GCA_014656135.1_ASM1465613v1_genomic.fasta;18;238.56;27.51;45.45;54.55
GCF_001936295.1_ASM193629v1_genomic.fasta;1;96;72.16;100.0;0.0
GCF_003815875.1_ASM381587v1_genomic.fasta;2;148;63.87;50.0;50.0
GCA_010728325.1_ASM1072832v1_genomic.fasta;10;110.3;31.96;57.14;42.86
GCF_001465595.2_ASM146559v2_genomic.fasta;1;91;37.37;0.0;0.0
GCF_030445085.1_ASM3044508v1_genomic.fasta;0;0.0;71.86;0.0;0.0
GCA_019039035.1_ASM1903903v1_genomic.fasta;16;1185.44;30.46;30.0;70.0
GCF_004524855.1_ASM452485v1_genomic.fasta;9;124;35.78;60.0;40.0
GCA_900475855.1_46338_B02_genomic.fasta;3;99;59.63;0.0;100.0
GCF_003583405.1_CHULA_Jazt_1.1_for_version_1.1_of_the_Jishengella_sp._nov._AZ1-13_genome_from_a_lab_in_CHULA_genomic.fasta;15;159.73;28.1;55.56;44.44
GCA_021738965.1_ASM2173896v1_genomic.fasta;25;115.08;33.52;45.0;55.0
GCF_001457695.1_NCTC11351_genomic.fasta;1;100;69.77;0.0;100.0
GCA_016908655.1_ASM1690865v1_genomic.fasta;2;857.5;60.16;50.0;50.0
GCF_002005365.1_ASM200536v1_genomic.fasta;2;120.5;51.59;100.0;0.0
GCA_900108595.1_IMG-taxon_2667527230_annotated_assembly_genomic.fasta;1;93;38.64;100.0;0.0
GCF_002930615.1_ASM293061v1_genomic.fasta;1;4419;32.32;0.0;100.0
GCA_019175485.1_ASM1917548v1_genomic.fasta;3;219;60.47;0.0;100.0
GCA_900102095.1_IMG-taxon_2667527442_annotated_assembly_genomic.fasta;15;124.33;27.26;66.67;33.33
GCA_000013345.1_ASM1334v1_genomic.fasta;13;474.23;29.92;60.0;40.0
GCA_900149755.1_BQ8482_STM4623_genomic.fasta;5;138;38.15;50.0;50.0
GCA_010894455.1_ASM1089445v1_genomic.fasta;32;290.69;31.07;54.55;45.45
GCA_014145555.1_ASM1414555v1_genomic.fasta;3;91;61.22;66.67;33.33
GCA_013820765.1_ASM1382076v1_genomic.fasta;7;106.14;57.75;25.0;75.0
GCA_014701095.1_ASM1470109v1_genomic.fasta;27;252.7;28.56;76.92;23.08
GCA_014322845.1_ASM1432284v1_genomic.fasta;5;771;64.23;0.0;100.0
GCA_023823835.1_ASM2382383v1_genomic.fasta;1;122;59.04;100.0;0.0
GCF_001595985.1_ASM159598v1_genomic.fasta;1;74;54.49;0.0;0.0
GCA_014144865.1_ASM1414486v1_genomic.fasta;2;119.5;31.81;50.0;50.0
GCA_937920065.1_SRR5007349_bin.21_CONCOCT_v1.1_MAG_genomic.fasta;4;505.5;54.87;100.0;0.0
GCA_031456295.1_ASM3145629v1_genomic.fasta;3;862.33;51.35;33.33;66.67
GCA_902859815.1_LMG_24076_genomic.fasta;1;106;37.01;0.0;0.0
GCA_900109115.1_IMG-taxon_2675903138_annotated_assembly_genomic.fasta;9;104.67;28.66;50.0;50.0
GCA_014634985.1_ASM1463498v1_genomic.fasta;2;102;59.95;100.0;0.0
GCF_001687365.1_ASM168736v1_genomic.fasta;3;722.67;38.98;66.67;33.33
GCF_002104765.1_ASM210476v1_genomic.fasta;12;95.42;33.23;50.0;50.0
GCF_025150085.1_ASM2515008v1_genomic.fasta;4;384;58.51;100.0;0.0
GCF_003353505.1_ASM335350v1_genomic.fasta;3;134.33;41.17;66.67;33.33
GCA_018128125.1_ASM1812812v1_genomic.fasta;7;158;58.75;0.0;100.0
GCA_901544385.1_42912_F01_genomic.fasta;3;817;59.44;33.33;66.67
GCA_904846465.1_ASM90484646v1_genomic.fasta;0;0.0;56.29;0.0;0.0
GCA_017915135.1_ASM1791513v1_genomic.fasta;3;158;34.98;33.33;66.67
GCF_002234915.1_BbifTam10Bv1_genomic.fasta;14;119.71;37.53;50.0;50.0
GCF_001984445.1_ASM198444v1_genomic.fasta;12;131;27.99;71.43;28.57
GCA_900115715.1_IMG-taxon_2663762798_annotated_assembly_genomic.fasta;2;103;33.34;100.0;0.0
GCA_900112205.1_IMG-taxon_2693429869_annotated_assembly_genomic.fasta;3;134.67;34.56;100.0;0.0
GCF_001698185.1_ASM169818v1_genomic.fasta;2;715;33.48;100.0;0.0
GCF_001542775.1_ASM154277v1_genomic.fasta;10;107.1;31.3;50.0;50.0
GCF_002209165.2_ASM220916v2_genomic.fasta;4;142.25;67.47;0.0;0.0
GCF_002310475.1_ASM231047v1_genomic.fasta;4;139.25;60.26;100.0;0.0
GCA_900324035.1_BRAD3257_genomic.fasta;5;148.2;36.66;75.0;25.0
GCF_004028255.1_ASM402825v1_genomic.fasta;4;447.75;46.23;33.33;66.67
GCA_014489635.1_ASM1448963v1_genomic.fasta;24;323.5;28.23;60.0;40.0
GCF_001611955.1_ASM161195v1_genomic.fasta;2;96;67.17;50.0;50.0
GCA_900091505.1_IMG-taxon_2623620610_annotated_assembly_genomic.fasta;16;129.44;28.54;20.0;80.0
GCA_900101995.1_IMG-taxon_2675903161_annotated_assembly_genomic.fasta;3;1228;63.42;0.0;100.0
GCA_019739075.1_ASM1973907v1_genomic.fasta;7;233.71;33.63;33.33;66.67
GCF_029542585.1_ASM2954258v1_genomic.fasta;23;128;41.67;29.41;70.59
GCA_000238275.4_Pund_v2.0_genomic.fasta;1;148;59.99;100.0;0.0
GCA_031454475.1_ASM3145447v1_genomic.fasta;6;157.33;63.58;80.0;20.0
GCF_001267535.1_ASM126753v1_genomic.fasta;2;99;47.11;50.0;50.0
GCF_001553565.1_ASM155356v1_genomic.fasta;8;94.38;27.42;33.33;66.67
GCF_008704555.1_ASM870455v1_genomic.fasta;20;159.35;27.83;54.55;45.45
GCA_014297575.1_ASM1429757v1_genomic.fasta;2;113;35.33;0.0;100.0
GCA_020387415.1_ASM2038741v1_genomic.fasta;2;7219;31.2;100.0;0.0
GCF_003612165.1_ASM361216v1_genomic.fasta;31;145;30.01;47.06;52.94
GCA_016804345.1_ASM1680434v1_genomic.fasta;8;127.75;29.53;33.33;66.67
GCA_900198455.1_ERZ466418_genomic.fasta;0;0.0;61.79;0.0;0.0
GCA_013488225.1_ASM1348822v1_genomic.fasta;2;88;38.55;100.0;0.0
GCA_016648035.1_ASM1664803v1_genomic.fasta;2;577.5;55.3;50.0;50.0
GCA_023702235.1_ASM2370223v1_genomic.fasta;3;109;62.13;50.0;50.0
GCF_009377175.1_ASM937717v1_genomic.fasta;16;800.38;28.8;40.0;60.0
GCA_013367855.1_ASM1336785v1_genomic.fasta;2;99.5;73.01;100.0;0.0
GCA_020886175.1_ASM2088617v1_genomic.fasta;2;155;38.77;100.0;0.0
GCA_944800085.1_2.1_genomic.fasta;14;316.5;46.66;83.33;16.67
GCA_019049625.1_ASM1904962v1_genomic.fasta;2;85.5;48.07;0.0;0.0
GCF_002356315.1_ASM235631v1_genomic.fasta;3;93;32.74;100.0;0.0
GCF_003660395.1_ASM366039v1_genomic.fasta;3;117.67;52.13;100.0;0.0
GCA_023634845.1_ASM2363484v1_genomic.fasta;17;121.76;63.48;81.82;18.18
GCF_029866525.1_ASM2986652v1_genomic.fasta;1;106;40.42;0.0;0.0
GCA_018597265.1_ASM1859726v1_genomic.fasta;0;0.0;44.15;0.0;0.0
GCF_004681965.1_ASM468196v1_genomic.fasta;4;123.25;30.29;0.0;100.0
GCA_900000005.1_BVF60_genomic.fasta;1;106;42.87;100.0;0.0
GCF_008632635.1_ASM863263v1_genomic.fasta;4;125.75;61.01;0.0;100.0
GCA_020735945.1_ASM2073594v1_genomic.fasta;2;197;54.94;50.0;50.0
GCA_928381505.1_27406_Q56_genomic.fasta;1;6117;43.33;100.0;0.0
GCA_015291705.1_ASM1529170v1_genomic.fasta;3;95.33;36.38;100.0;0.0
GCF_002884935.1_ASM288493v1_genomic.fasta;3;151.33;40.54;100.0;0.0
GCA_020329505.1_ASM2032950v1_genomic.fasta;3;99;34.9;0.0;100.0
GCA_015278215.1_ASM1527821v1_genomic.fasta;4;115.5;31.66;100.0;0.0
GCF_036226805.1_ASM3622680v1_genomic.fasta;33;106.52;28.52;31.25;68.75
GCA_019429485.1_ASM1942948v1_genomic.fasta;1;122;30.37;100.0;0.0
GCF_001049755.1_BRSU_AN4859_03_genomic.fasta;10;216.9;72.99;37.5;62.5
GCF_025821515.1_ASM2582151v1_genomic.fasta;6;95.17;33.91;66.67;33.33
GCF_004843545.1_ASM484354v1_genomic.fasta;2;1422.5;62.69;100.0;0.0
GCF_002954715.1_ASM295471v1_genomic.fasta;0;0.0;60.3;0.0;0.0
GCA_031348265.1_ASM3134826v1_genomic.fasta;10;118.4;28.65;60.0;40.0
GCF_004006435.1_ASM400643v1_genomic.fasta;2;134.5;56.19;50.0;50.0
GCF_024347355.1_ASM2434735v1_genomic.fasta;2;118;55.78;0.0;100.0
GCF_025854275.1_ASM2585427v1_genomic.fasta;12;115.5;28.9;50.0;50.0
GCA_014646095.1_ASM1464609v1_genomic.fasta;19;190.47;29.91;46.15;53.85
GCF_009834475.1_ASM983447v1_genomic.fasta;4;470.5;67.21;66.67;33.33
GCA_963529435.1_ERR9969148_bin.22_MetaWRAP_v1.3_MAG_genomic.fasta;3;80.67;53.63;50.0;50.0
GCA_016026755.1_ASM1602675v1_genomic.fasta;13;1971.46;62.0;41.67;58.33
GCF_003289945.1_ASM328994v1_genomic.fasta;6;142.67;36.65;20.0;80.0
GCF_002744715.1_ASM274471v1_genomic.fasta;4;97.25;39.68;25.0;75.0
GCA_021378605.1_ASM2137860v1_genomic.fasta;5;729.8;35.95;20.0;80.0
GCF_001602095.1_ASM160209v1_genomic.fasta;6;91;60.11;0.0;100.0
GCF_028750675.1_ASM2875067v1_genomic.fasta;6;668.67;57.5;33.33;66.67
GCA_016028295.1_ASM1602829v1_genomic.fasta;0;0.0;62.62;0.0;0.0
GCA_018256375.1_ASM1825637v1_genomic.fasta;1;88;41.62;0.0;0.0
GCA_000828125.2_ASM82812v2_genomic.fasta;2;91;67.76;100.0;0.0
GCA_000759475.1_ASM75947v1_genomic.fasta;3;129.67;46.07;100.0;0.0
GCA_013267355.1_ASM1326735v1_genomic.fasta;4;120;33.94;50.0;50.0
GCA_900141925.1_IMG-taxon_2663762797_annotated_assembly_genomic.fasta;2;91.5;44.67;50.0;50.0
GCF_002310295.2_ASM231029v2_genomic.fasta;3;78;32.78;100.0;0.0
GCA_014863605.1_ASM1486360v1_genomic.fasta;5;153;39.66;60.0;40.0
GCF_009799805.1_ASM979980v1_genomic.fasta;5;1357.4;66.47;75.0;25.0
GCF_002009845.1_ASM200984v1_genomic.fasta;11;197.55;59.71;60.0;40.0
GCA_010093445.1_ASM1009344v1_genomic.fasta;2;107.5;32.69;50.0;50.0
GCF_001274805.1_ASM127480v1_genomic.fasta;1;145;54.56;100.0;0.0
GCF_003391395.1_ASM339139v1_genomic.fasta;26;284.08;34.28;55.56;44.44
GCA_014644515.1_ASM1464451v1_genomic.fasta;0;0.0;34.02;0.0;0.0
GCF_001999985.1_ASM199998v1_genomic.fasta;3;102.33;65.22;50.0;50.0
GCA_000824745.1_ORS3356-Illumina_genomic.fasta;3;117.33;36.44;50.0;50.0
GCF_007830095.1_ASM783009v1_genomic.fasta;7;100.86;28.98;25.0;75.0
GCF_009857495.1_ASM985749v1_genomic.fasta;0;0.0;36.25;0.0;0.0
GCF_001187725.1_ASM118772v1_genomic.fasta;2;115;52.91;100.0;0.0
GCF_024205225.1_ASM2420522v1_genomic.fasta;2;91;35.61;100.0;0.0
GCF_009724685.1_ASM972468v1_genomic.fasta;2;256.5;62.85;0.0;0.0
GCA_900102265.1_IMG-taxon_2684622908_annotated_assembly_genomic.fasta;1;106;63.54;0.0;100.0
GCA_016811915.1_ASM1681191v1_genomic.fasta;1;175;49.0;0.0;100.0
GCA_017751225.1_ASM1775122v1_genomic.fasta;11;173.82;72.98;50.0;50.0
GCF_002214805.1_ASM221480v1_genomic.fasta;4;118.75;72.62;50.0;50.0
GCF_001661075.1_ASM166107v1_genomic.fasta;16;97.5;40.42;15.38;84.62
GCF_040235185.1_Vibrio_metschnikovii_21_genomic.fasta;4;1017.25;55.63;100.0;0.0
GCF_001702265.1_ASM170226v1_genomic.fasta;3;159;38.37;50.0;50.0
GCA_000808575.1_ASM80857v1_genomic.fasta;0;0.0;55.52;0.0;0.0
GCA_013409565.1_ASM1340956v1_genomic.fasta;4;194;29.2;33.33;66.67
GCA_016865215.1_ASM1686521v1_genomic.fasta;1;158;65.86;0.0;0.0
GCF_024496085.1_ASM2449608v1_genomic.fasta;7;102.14;62.66;20.0;80.0
GCA_021555195.1_ASM2155519v1_genomic.fasta;1;379;38.25;100.0;0.0
GCF_025402875.1_ASM2540287v1_genomic.fasta;9;565.44;55.34;55.56;44.44
GCF_946903285.1_TRV642_V1_genomic.fasta;12;266.5;64.69;27.27;72.73
GCF_029524215.1_ASM2952421v1_genomic.fasta;5;126;27.57;0.0;100.0
GCF_001544475.1_ASM1544475v2_genomic.fasta;3;1193.67;37.16;33.33;66.67
GCA_011299095.1_ASM1129909v1_genomic.fasta;3;102.67;59.54;0.0;100.0
GCF_036898205.1_ASM3689820v1_genomic.fasta;5;379.2;58.95;40.0;60.0
GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly_genomic.fasta;4;571;37.11;100.0;0.0
GCA_014268785.2_ASM1426878v2_genomic.fasta;0;0.0;38.15;0.0;0.0
GCF_008369065.1_ASM836906v1_genomic.fasta;30;106.3;27.78;41.18;58.82
GCF_003129925.1_ASM312992v1_genomic.fasta;23;167.26;36.83;42.11;57.89
GCF_003148935.1_ASM314893v1_genomic.fasta;4;113.5;46.98;66.67;33.33
GCA_022229005.1_ASM2222900v1_genomic.fasta;8;134.88;28.91;100.0;0.0
GCF_025823025.1_ASM2582302v1_genomic.fasta;4;130;33.11;50.0;50.0
GCF_001523725.1_ASM152372v1_genomic.fasta;5;163.8;35.71;33.33;66.67
GCF_002209125.2_ASM220912v2_genomic.fasta;12;137.58;31.76;44.44;55.56
GCF_009728485.1_ASM972848v1_genomic.fasta;17;182.53;58.52;52.94;47.06
GCA_014650915.1_ASM1465091v1_genomic.fasta;13;122.77;28.54;28.57;71.43
GCF_009363075.1_ASM936307v1_genomic.fasta;9;249.11;52.5;57.14;42.86
GCA_018069755.1_ASM1806975v1_genomic.fasta;2;3279;30.34;0.0;100.0
GCA_021497645.1_ASM2149764v1_genomic.fasta;1;211;37.48;0.0;0.0
GCA_031455225.1_ASM3145522v1_genomic.fasta;25;485.76;26.86;52.38;47.62
GCF_030408735.1_ASM3040873v1_genomic.fasta;4;142.25;40.11;100.0;0.0
GCF_001457595.1_NCTC8159_genomic.fasta;1;121;32.67;0.0;0.0
GCA_900199455.1_ICMP_18942_genomic.fasta;6;88;37.61;40.0;60.0
GCA_015476275.1_ASM1547627v1_genomic.fasta;2;91;40.7;0.0;100.0
GCF_024362265.1_ASM2436226v1_genomic.fasta;2;121.5;31.68;0.0;100.0
